id,vl_diff,cd_diff,vlogs_diff_mean,cds_diff_mean,n,payoffs,payoffs_b,nearest_payoff,classification_2,classification_3,classification_4,phen_1,str1_2,str1_3,str2_2,str2_3,str2_4,str2_5,str2_6,str2_7,batch_1,TB_1,GR_1
2,0.8064147460096498,0.4773771810997694,0.9635617709601948,0.6173745398857842,18,0.12536910956993436,1.0448009929233748,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
3,0.9796224365387668,1.7549719517941025,0.9635617709601948,0.6173745398857842,18,0.8945195758917102,1.0448009929233748,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
4,1.3071736911209395,1.3317016440707987,0.9635617709601948,0.6173745398857842,18,0.6396981238685389,1.0448009929233748,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
5,0.4530718206017276,0.28029121844068494,0.01036795153766684,0.00431251384321148,79,0.00671743412332373,0.6896514464400242,0.5296704141131363,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
7,0.9469684737566252,0.42181830429198286,0.9635617709601948,0.6173745398857842,18,0.09192099520281076,0.9446837159991868,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
8,0.5783904128589272,0.2953706898184995,0.9635617709601948,0.6173745398857842,18,0.01579572929811426,0.7168247029661792,0.5296704141131363,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
10,0.5225950466956395,0.08594238317838299,0.01036795153766684,0.00431251384321148,79,-0.11028640833123944,0.3394342124385924,0.5296704141131363,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
12,1.203653648210381,1.119901228220469,0.9635617709601948,0.6173745398857842,18,0.5121879051707179,1.0448009929233748,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
14,1.1167087666681983,0.8175775591487846,0.9635617709601948,0.6173745398857842,18,0.3301799662056716,1.0448009929233748,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
16,2.694012770790257,0.8025683042149879,0.9635617709601948,0.6173745398857842,18,0.3211439434414282,0.6078614841851496,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
17,0.24553739772959252,0.2868270144332671,0.01036795153766684,0.00431251384321148,79,0.01065217982735206,0.6078614841851496,0.2541046223783886,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
18,0.4664554193531782,0.8807466411533794,0.9635617709601948,0.6173745398857842,18,0.36820965292280433,0.6078614841851496,0.5296704141131363,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
19,0.15188207629232622,0.26127298799714826,0.01036795153766684,0.00431251384321148,79,-0.00473211243854218,0.6078614841851496,0.14702791357213757,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
21,0.5920107949373808,0.6516168652083716,0.9635617709601948,0.6173745398857842,18,0.23026663839361328,0.6078614841851496,0.5296704141131363,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
22,0.1980114160124202,0.44187048387282835,-0.18324088232080385,0.5866804711230271,32,0.10399301023383134,0.6078614841851496,0.1911729766648216,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,0.3747486075231822,0.3271557550414314,0.01036795153766684,0.00431251384321148,79,0.03493129426680905,0.6078614841851496,0.33029416687588603,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
24,0.6386743135258311,0.2661196864502098,0.9635617709601948,0.6173745398857842,18,-0.00181425424061976,0.6078614841851496,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
25,0.10942056150217846,0.6603756142263626,-0.18324088232080385,0.5866804711230271,32,0.23553966865807024,0.6078614841851496,0.07369898968389911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0.1005719718937946,1.177782087054495,-0.18324088232080385,0.5866804711230271,32,0.5470339225343466,0.25695816596242654,0.07369898968389911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0.2032218237163053,1.8421148377826129,-0.18324088232080385,0.5866804711230271,32,0.9469822134448224,0.25695816596242654,0.2088632632386347,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28,0.08385246376718211,0.1303907007479297,0.01036795153766684,0.00431251384321148,79,-0.0835271846947374,0.25695816596242654,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,1.1848976214362312,0.660605851946733,0.9635617709601948,0.6173745398857842,18,0.23567827868845692,0.25695816596242654,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
30,0.17071743522672866,0.967005345145636,-0.18324088232080385,0.5866804711230271,32,0.4201399863288336,0.25695816596242654,0.16922149043590837,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
31,0.06088925838984902,0.560603270837008,-0.18324088232080385,0.5866804711230271,32,0.17547371801064182,0.25695816596242654,0.05814259011577686,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
33,0.05848004181985727,0.43774735454800107,-0.18324088232080385,0.5866804711230271,32,0.101510762407181,0.25695816596242654,0.05814259011577686,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
34,0.05006112875492374,0.7801471882549105,-0.18324088232080385,0.5866804711230271,32,0.3076457574815906,0.25695816596242654,0.05154909197384914,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35,0.3999317486569678,0.17302539525964403,0.01036795153766684,0.00431251384321148,79,-0.05785981667056347,0.25695816596242654,0.33029416687588603,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
37,0.2842774108495826,0.12127483071835338,0.01036795153766684,0.00431251384321148,79,-0.08901521254598384,0.1837890363693693,0.2541046223783886,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0
38,0.8882003903090305,0.23448997902720536,0.9635617709601948,0.6173745398857842,18,-0.02085628914250317,0.1837890363693693,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
39,0.00757911849078655,0.2772012807055687,0.01036795153766684,0.00431251384321148,79,0.00485719869939643,0.1837890363693693,0.01311936855647409,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0.5975343269679866,0.2044509518164456,0.9635617709601948,0.6173745398857842,18,-0.03894068672848558,0.1837890363693693,0.5296704141131363,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
41,0.1702184276398402,0.3053385121431167,0.01036795153766684,0.00431251384321148,79,0.02179665804723968,0.1837890363693693,0.16922149043590837,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
44,-0.02407382890547053,0.09273369646447036,0.01036795153766684,0.00431251384321148,79,-0.1061978335336982,0.1837890363693693,-0.02188969694557166,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
46,-0.09729340489019678,0.5523787153276516,-0.18324088232080385,0.5866804711230271,32,0.1705222883003646,0.1837890363693693,-0.10760218017533396,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
47,-0.1094234484777692,0.12237592754671062,0.01036795153766684,0.00431251384321148,79,-0.08835231914783999,0.1837890363693693,-0.11026836958089407,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
48,-0.0629176646594662,0.24718578643641456,0.01036795153766684,0.00431251384321148,79,-0.01321303134815751,0.1837890363693693,-0.06612330648821,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
50,-0.11069111205140164,0.3383798734439549,-0.18324088232080385,0.5866804711230271,32,0.04168855102879471,-0.1266671083510134,-0.11026836958089407,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51,-0.11813723375699396,0.3327170629597019,-0.18324088232080385,0.5866804711230271,32,0.03827936884946564,-0.1266671083510134,-0.11026836958089407,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
52,0.7237436159524222,0.6575091912629366,0.9635617709601948,0.6173745398857842,18,0.2338139958472804,0.6502840650960053,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
